segment	src_indices	tgt_indices	src_tokens	tgt_tokens	score
16.12	0|1	0|1	δεύτεραι|δὲ	Next|after	0.4705
16.12	3|4	5|6	ἐκ|συλλογισμοῦ	through|reasoning	0.4805
16.2	8	12|14|20|21|22	φοροῦσι	have|them|brings|in|in	0.5082
17.1	1	0	δὲ	At	0.4135
17.11	3	4|5	ἴδιον	is|proper	0.4796
17.11	4|8	0|3|11|12|13|14	τοῦτο|ἐπεισόδια	This|that|in|it|is|episode	0.4135
17.11	5|7	9|10	τὰ|ἄλλα	everything|else	0.5154
17.2	20	31	δὲ	but	0.7004
17.4	0	0	διὸ	Hence	0.6722
17.4	5	14|15	ἢ	or|else	0.4732
17.4	13	32	δὲ	and	0.6183
17.7	0|1	0|4	μετὰ|ταῦτα	This|thing	0.4554
17.7	4	1|9|10|11	ὑποθέντα	done|have|been|fixed	0.4936
17.7	5|6	6|8|16|17	τὰ|ὀνόματα	the|names|the|story	0.4605
17.7	7	21|22|24	ἐπεισοδιοῦν	in|episodes|accessory	0.4523
17.8	0|1	3|4	ὅπως|δὲ	however|that	0.4537
17.8	6	9	οἷον	like	0.6129
17.8	7|8|9	14|15	ἐν|τῷ|Ὀρέστῃ	in|Orestes	0.5142
17.9	1|2	2	μὲν|οὖν	then	0.6018
18.10	0|1	0|1|2|3	δίκαιον|δὲ	Now|it|is|right	0.5412
18.10	2|8	4|5|6|19|20|21	καὶ|λέγειν	when|one|speaks|to|do|so	0.4225
18.10	3	7|8|9	τραγῳδίαν	of|a|tragedy	0.6197
18.10	9	14|26|38	οὐδενὶ	not|all|not	0.4556
18.11	0|2	3|4|5|6|9	πολλοὶ|πλέξαντες	many|dramatists|who|after|Complication	0.4326
18.11	1	0	δὲ	Yet	0.7370
18.12	0|1	0|1|2|3	δεῖ|δὲ	But|it|is|necessary	0.5663
18.12	2	4|5|6	ἄμφω	for|both|points	0.5481
18.12	3|4	8|9|10|11|12|13	ἀεὶ|κρατεῖσθαι	construction|to|be|always|duly|mastered	0.4462
18.13	2|3	5|6|7|8	ὅπερ|εἴρηται	what|has|been|said	0.5464
18.14	16	25	πολὺ	very	0.5660
18.16	4	4|5	καὶ	as|also	0.7132
18.17	4	1	ὁ	the	0.6053
18.17	5|8	2|3	σοφὸς|πονηρίας	clever|villain	0.4382
18.17	9|18	8	δ|δὲ	or	0.4279
18.17	11	0|4	ὥσπερ	like|e	0.4860
18.17	12	5|6	Σίσυφος	g|Sisyphus	0.5814
18.18	4	5|8	ὥσπερ	in|when	0.4687
18.18	5	6	Ἀγάθων	Agathon's	0.5643
18.18	6	9|10|11	λέγει	he|speaks|of	0.5619
18.18	9|10|11	14|15|16|17|18|19	γίνεσθαι|πολλὰ|καὶ	of|even|improbabilities|coming|to|pass	0.4157
18.19	9|14	21	καὶ|καὶ	and	0.6608
18.2	0|1|2	0|1|2|3|4	λέγω|δὲ|δέσιν	By|Complication|I|mean|all	0.4031
18.2	12	14	ὃ	just	0.4019
18.4	0|4	3|4|6|7	τραγῳδίας|τέσσαρα	four|distinct|of|Tragedy-that	0.4354
18.4	2	5	εἴδη	species	0.5968
18.4	10	15|16|17|18	ἐλέχθη	that|have|been|mentioned	0.6335
18.5	0	1	ἡ	the	0.5743
18.5	1	0	μὲν	first	0.4632
18.5	2|7	2|3|7	πεπλεγμένη|περιπέτεια	complex|Tragedy|Peripety	0.4512
18.5	3	4	ἧς	which	0.5333
18.5	4|5	6	τὸ|ὅλον	all	0.5691
18.5	6	5	ἐστὶν	is	0.6200
18.5	8	8	καὶ	and	0.6373
18.5	9	9	ἀναγνώρισις	Discovery	0.5659
18.6	0|2	1|2|3|4	ἡ|παθητική	the|Tragedy|of|suffering	0.4989
18.6	1	0	δὲ	second	0.4598
18.6	3|5	5	οἷον|τε	e	0.5228
18.6	4|6|7|8|9	7|8|9|10	οἵ|Αἴαντες|καὶ|οἱ|Ἰξίονες	the|Ajaxes|and|Ixions	0.4060
18.7	0|2	1|2|3|4	ἡ|ἠθική	the|Tragedy|of|character	0.4673
18.7	1	0	δὲ	third	0.4226
18.7	3	5	οἷον	e.g	0.7248
18.7	4|5	6|7	αἱ|Φθιώτιδες	The|Phthiotides	0.6303
18.7	6|7|8	8|9	καὶ|ὁ|Πηλεύς	and|Peleus	0.5202
18.8	10	13	καὶ	and	0.6237
18.8	11	15|16|20	ὅσα	all|plays|laid	0.4728
18.8	12|13	21|22|23|24	ἐν|ᾅδου	in|the|nether|world	0.4691
19.1	3	0	τῶν	The	0.4081
19.1	6	4|5|6	εἴρηται	having|been|discussed	0.5081
19.1	7|8	7|8	λοιπὸν|δὲ	it|remains	0.4380
19.1	10	1|11|12	λέξεως	Plot|the|Diction	0.5369
19.1	11|12	2|3|13|14	καὶ|διανοίας	and|Characters|and|Thought	0.4587
19.1	13	9|10	εἰπεῖν	to|consider	0.5102
19.2	0	7	τὰ	what	0.5456
19.2	2|3	0|1|10	οὖν|περὶ	As|for|of	0.4149
19.2	13	19|21	ἴδιον	belongs|properly	0.4843
19.2	14	20	μᾶλλον	more	0.6217
19.3	0	5	ἔστι	is	0.4983
19.3	6	8	ὅσα	everything	0.4023
19.3	10|11	6|9|10|11	δεῖ|παρασκευασθῆναι	shown|to|be|effected	0.4871
19.5	0|1|2|3	0|1|2|3|4	δῆλον|δὲ|ὅτι|καὶ	It|is|clear|also|that	0.4981
19.7	14	20	ἅ	e	0.4124
19.7	16	19|21	εἰδέναι	spoken|g	0.4132
19.7	20	18	τοῦ	when	0.4060
19.9	4|5|6|7|8	11|12|13|14|15|16	καὶ|οὐ|τῆς|ποιητικῆς|ὂν	and|not|to|that|of|poetry	0.4175
2.2	0|4|7	9|10|11|18|19|23|24	Πολύγνωτος|Παύσων|Διονύσιος	personages|of|Polygnotus|of|Pauson|of|Dionysius	0.4142
2.2	3|6	12|13|17|20	κρείττους|χείρους	are|better|those|worse	0.5114
2.2	5|8	14|21	δὲ|δὲ	than|and	0.4816
2.4	8|9	8|9	ἔστι|γενέσθαι	are|possible	0.5776
2.4	10|11|12	6|7	ταύτας|τὰς|ἀνομοιότητας	such|diversities	0.5257
2.6	0	0|1	ὁμοίως	The|same	0.5485
2.6	6|13	7|26|32	καὶ|καὶ	and|and|and	0.5469
2.6	10|15|16	12|13|14|20	ὥσπερ|μιμήσαιτο|ἄν	may|be|presented|exemplified	0.4313
2.7	0|1|2|3|4	0|1	ἐν|ταύτῃ|δὲ|τῇ|διαφορᾷ	This|difference	0.5238
2.7	5	4|9	καὶ	that|also	0.5346
2.7	8	7	πρὸς	and	0.4077
20.12	7	15	ὀνομάτων	Verb	0.5378
20.13	15	27	οἷον	Thus	0.6980
20.5	1	0	δέ	2	0.4823
20.7	1	0	δ	4	0.4180
21.1	0|2	0	Ὀνόματος|εἴδη	Nouns	0.5074
21.1	13|14|15|16	15|16|17|18	οἷον|γῆ|τὸ|δὲ	like|the|word|γῆ	0.4228
21.16	0	0|1|2|3	οἷον	An|instance|of|this	0.4430
21.16	1|4	4|5|6|7	εἰ|εἴποι	would|be|to|call	0.4771
21.16	7	13|14	Ἄρεως	of|Ares	0.7216
21.16	8	20	ἀλλ	but	0.6399
21.17	22|23|24|25	35|36|37|38	καὶ|τὸν|ἱερέα|ἀρητῆρα	and|ἀρητήρ|for|priest	0.4679
21.18	7	8	ἐὰν	when	0.6016
21.18	13|17	16	ἢ|δὲ	or	0.5369
21.18	16	17	τὸ	an	0.4245
21.2	1	0	δὲ	or	0.4426
21.2	10	25	ἐν	in	0.4386
21.2	11	7|26	τῷ	the|the	0.4358
21.2	12	27	ὀνόματι	compound	0.4262
21.21	0	2	αὐτῶν	themselves	0.4424
21.21	3	5	ὀνομάτων	class	0.4212
21.21	4|5	10	τὰ|μὲν	either	0.5484
21.21	6|9|10	11|12|14|15	ἄρρενα|θήλεα|τὰ	masculines|feminines|intermediates|neuter	0.4184
21.21	7|8	13	τὰ|δὲ	or	0.6158
21.22	13	6	καὶ	or	0.5051
21.23	0	1	οἷον	ending	0.4484
21.23	1|2|3|4|5|8|9	2|7|8|9|10|11|12	εἰς|Η|καὶ|Ω|καὶ|εἰς|Α	in|Η|and|Ω|and|in|Α	0.4170
21.23	6	3|14	τῶν	the|the	0.4659
21.23	7	15|17|18|21	ἐπεκτεινομένων	vowels|may|be|feminines	0.4133
21.24	0	0|1	ὥστε	So|that	0.7338
21.24	6	7	τὰ	of	0.4448
21.25	6	9	οὐδὲ	or	0.5651
21.25	7	10	εἰς	in	0.5292
21.25	8	13|16	φωνῆεν	the|vowels	0.4649
21.25	9	15	βραχύ	short	0.5091
21.26	17	17	εἰς	in	0.4446
21.3	0|1|2|3	0|1|2|3|4|5	εἴη|δ|ἂν|καὶ	It|is|possible|also|to|have	0.4103
21.5	0	0|1|3|4|5	λέγω	By|the|word|I|mean	0.4478
21.5	2	2	κύριον	ordinary	0.4527
21.5	4	6	ᾧ	that	0.5009
21.5	5	7|9	χρῶνται	in|use	0.5122
21.6	7	18	καὶ	once	0.4053
21.6	9	20	καὶ	and	0.5343
21.6	22	37|38	Κυπρίοις	in|Cyprus	0.6555
21.8	7|11	7|8	οἷον|ἥδ	in|Here	0.4558
21.9	5|6	5	ἦ|δὴ	in	0.4417
22.1	0	2|3	Λέξεως	of|Diction	0.6179
22.1	2	0|1	ἀρετὴ	The|perfection	0.6650
22.10	5	3|4	χρώμενον	use|of	0.5443
22.10	6|7	5	τούτῳ|τῷ	these	0.5579
22.10	8|9	6|10|11	τρόπῳ|γελοῖον	licences|ludicrous|effect	0.4192
22.10	15	7	ἐστὶ	has	0.5177
22.11	6	14	τοῖς	the	0.4052
22.12	0	0	τὸ	The	0.5756
22.12	11	3|4	ὀνομάτων	of|them	0.4578
22.15	19	16	δὲ	but	0.6457
22.16	13	19	καὶ	and	0.5929
22.17	9	11|14	τε	and|also	0.5655
22.19	10	9	δὲ	But	0.6660
22.2	1|2	2	μὲν|οὖν	indeed	0.6525
22.2	16	25	καὶ	and	0.6569
22.20	1|2	2	μὲν|οὖν	then	0.5420
22.20	3	7|8	τραγῳδίας	of|Tragedy	0.4796
22.20	10|12	0|3	ἔστω|ἱκανὰ	Let|suffice	0.4512
22.3	1	0|1|2|3	δὲ	On|the|other|hand	0.6037
22.5	36|37|38	47|48|49	καὶ|τὰ|τοιαῦτα	and|the|like	0.7046
22.8	39	16	διὰ	of	0.4012
23.4	0|1|2|3	0|1	σχεδὸν|δὲ|οἱ|πολλοὶ	Nevertheless|most	0.4911
23.4	6	10	τοῦτο	the	0.4710
23.6	18	21|22	ποιήσας	one|has	0.4440
23.6	19	20	καὶ	although	0.4198
24.1	1|3	0	δὲ|δὲ	II	0.4467
24.1	6	8|9	ταὐτὰ	the|same	0.5770
24.11	7	18	ὥσπερ	as	0.7962
24.11	8	17|19	Χαιρήμων	metres|Chaeremon	0.5383
24.12	8|9	15|16	τῷ|ἡρῴῳ	heroic|verse	0.4736
24.13	0	0	Ὅμηρος	Homer	0.7100
24.18	3	0	Ὅμηρος	Homer	0.6491
24.19	5	4	μᾶλλον	always	0.4590
24.19	6	6	ἢ	to	0.4527
24.23	16	27|28|29|30	πάλιν	on|the|other|hand	0.4467
24.4	0|1	0|1|2|3|4	διαφέρει|δὲ	There|is|however|a|difference	0.4931
24.4	5|9	7	συστάσεως|ἐποποιία	Epic	0.4114
24.4	10|11|12	16|17|18|19|20	καὶ|τὸ|μέτρον	and|2|in|its|metre	0.4862
24.7	5	5	εἰς	to	0.4354
25.1	0|1|5	0|1|16	Περὶ|δὲ|ἐκ	As|regards|on	0.4332
25.1	3|7|8	3|11	καὶ|τε|καὶ	and|and	0.5291
25.1	10	7	ἂν	may	0.4474
25.1	13	24|25|26|27	ὧδ	in|the|following|way	0.4982
25.10	0	1|3	ἔτι	may|too	0.5184
25.10	9	12	ἢ	or	0.6542
25.12	0	6	εἰ	may	0.4770
25.12	2	9	μηδετέρως	wrong	0.4592
25.12	5|7	0|1	φασίν|τὰ	The|tales	0.4806
25.12	6	5	οἷον	instance	0.4330
25.12	8|9	2|3	περὶ|θεῶν	about|Gods	0.5923
25.13	0|1|10	0|2	ἴσως|γὰρ|ὥσπερ	as|thinks	0.4075
25.13	3|7	4|7	βέλτιον|ἀληθῆ	true|better	0.5465
25.13	11	1	Ξενοφάνει	Xenophanes	0.6484
25.18	3	3	ὥσπερ	as	0.6487
25.18	4	4	Ἱππίας	Hippias	0.6737
25.18	17	26	ὄμβρῳ	ὄμβρῳ	0.9296
25.20	0|1|4	1|3|12	τὰ|δὲ|δὲ	Or|the|δὲ	0.4295
25.23	0	5	ὡδι	this	0.4366
25.23	1	0	ἢ	whether	0.5365
25.23	5|7	1|2|3	ἄν|ὑπολάβοι	by|taking|it	0.4575
25.23	8	4	κατὰ	in	0.4328
25.23	10	6	καταντικρὺ	sense	0.4428
25.24	2	11	Γλαύκων	Glaucon	0.6782
25.26	0	1	ὅλως	generally	0.6729
25.26	2	7	τὸ	the	0.4850
25.26	3	8	ἀδύνατον	Impossible	0.4601
25.26	8|12	16|20	ἢ|ἢ	or|or	0.5937
25.26	16	3	δεῖ	has	0.6048
25.28	3	5	Ζεύξις	Zeuxis	0.7167
25.29	2	6|9	φασιν	justify|showing	0.4679
25.29	5	7	τε	either	0.4774
25.29	6	17	καὶ	or	0.4575
25.29	7	18|19|20	ὅτι	by|urging|that	0.4756
25.31	1	0	δ	But	0.6960
25.4	6	15	δὲ	too	0.4352
25.4	15	27	καὶ	as	0.6317
25.5	11|12	19|20|21	ἡ|δὲ	the|other|only	0.5896
26.1	0	5	Πότερον	whether	0.4444
26.1	2	13	βελτίων	higher	0.5490
26.1	6	8	ἢ	or	0.6739
26.10	4|5	4|5	ἔξεστι|χρῆσθαι	being|admissible	0.5033
26.10	13	28	καὶ	and	0.5275
26.11	4	6	ἔχει	is	0.5045
26.15	20	30	ἀλλὰ	but	0.7160
26.6	10	32	ἐπεὶ	for	0.5699
26.6	11	33|34|36	ἔστι	it|is|possible	0.5285
26.6	17|18|21|22|23|24|25	46|47|48|54|55|56|57|58	ὅπερ|Σωσίστρατος|ὅπερ|ἐποίει|Μνασίθεος|ὁ|Ὀπούντιος	as|did|Sosistratus|as|did|Mnasitheus|of|Opus	0.4003
26.8	0	0|1	ἔτι	3|That	0.4541
26.9	0	0|1|2|3	ἔπειτα	In|the|second|place	0.4793
26.9	1	8	διότι	that	0.4500
26.9	2|4	11|12	πάντ|ὅσαπερ	everything|that	0.4649
26.9	3	10|15	ἔχει	has|has	0.5516
26.9	5	13	ἡ	the	0.5040
26.9	6	14	ἐποποιία	Epic	0.4558
3.1	9|10	16|17	μιμήσαιτο|ἄν	is|represented	0.5137
3.3	2	6	δὴ	therefore	0.6164
3.3	7	15	ἐστιν	come	0.5254
3.3	8|9	0|1|2	ὡς|εἴπομεν	As|we|said	0.5482
3.7	0	3|4	περὶ	as|to	0.5042
3.7	1|2	0|1|2	μὲν|οὖν	So|much|then	0.5170
3.7	7	7	καὶ	and	0.4925
4.1	4|12	5|18|19|20	ὅλως|φυσικαί	general|of|human|nature	0.4425
4.10	9|10|11	11|12|13|14|16	καὶ|τὰ|τοιαῦτα	and|the|similar|poems|others	0.4646
4.11	0	0	καὶ	The	0.4673
4.11	1	2|3|7	ἐγένοντο	was|that|became	0.5606
4.11	4|5	8	οἱ|μὲν	some	0.6340
4.11	7|8	14|15	οἱ|δὲ	and|others	0.6727
4.15	0	0	καὶ	And	0.8438
4.15	1	1	πολλὰς	many	0.8136
4.15	4|5	6	ἡ|τραγῳδία	Tragedy	0.4980
4.16	27	39|40	Σοφοκλῆς	to|Sophocles	0.6490
4.2	25|26	29|30	τὰς|πρώτας	at|first	0.4969
4.20	4	17	καὶ	and	0.4216
4.20	5	11	τὰ	the	0.4566
4.20	7	9	ὡς	As	0.5141
4.21	8	13	ἕκαστον	details	0.4444
4.4	6|7	19|20	οὐ|μόνον	not|only	0.6629
4.4	8|9	21|22|23	τοῖς|φιλοσόφοις	to|the|philosopher	0.6279
5.1	3|5	3|4|6|7|8	ἐστὶν|εἴπομεν	it|is|has|been|observed	0.4258
5.10	9|10	15|16	τῆς|τραγῳδίας	to|Tragedy	0.5092
5.3	12	15	ἡ	the	0.4649
5.3	27	28|29	ποτε	as|yet	0.4453
5.4	4	8	αὐτῆς	its	0.4234
5.5	5	3|11	καὶ	or|and	0.5855
5.5	7|8	5	τὸ|μὲν	however	0.4514
5.5	11|12	7|8	ἐκ|Σικελίας	in|Sicily	0.5354
5.6	3	3	Κράτης	Crates	0.7363
5.8	16	19	ἐξαλλάττειν	to	0.4259
5.8	17|19	17	ἡ|ἐποποιία	Tragedy	0.4659
6.11	7	18|21	εἰπεῖν	play|say	0.4529
6.11	15	17	πᾶν	every	0.5131
6.13	16	49|51|52	καὶ	in|i|e	0.4373
6.14	9	8	δὲ	but	0.5937
6.17	0|1	0|1	πρὸς|δὲ	And|again	0.5033
6.17	3|4|11|12	2|3|4|5|14|15	τὰ|μέγιστα|μέρη|ἐστίν	the|most|powerful|elements|are|parts	0.4181
6.17	7|13|15	10|11	ἡ|αἵ|περιπέτειαι	the|Peripeties	0.4489
6.17	16	12	καὶ	and	0.6919
6.17	17	13	ἀναγνωρίσεις	Discoveries	0.5414
6.18	0|1|2|3	0|1|2|3|4|5|6|7	ἔτι|σημεῖον|ὅτι|καὶ	A|further|proof|is|in|the|fact|that	0.4652
6.19	1|2	2	μὲν|οὖν	therefore	0.6755
6.19	12	21	τὰ	the	0.4720
6.20	7|8	5	εἰ|γάρ	where	0.4896
6.21	0	4|12|13	ἔστιν	is|it|is	0.5110
6.21	4	10	καὶ	and	0.6781
6.22	12|21|22	16|37|38	καὶ|καὶ|ῥητορικῆς	or|and|Rhetoric	0.4587
6.23	7|8|9	10|11|12	οἱ|δὲ|νῦν	and|the|moderns	0.5047
6.25	3	8	οἷς	all	0.4589
6.3	0|1|4	0|1|2|6|7	λέγω|δὲ|λόγον	Here|by|language|I|mean	0.4307
6.3	5	8	τὸν	that	0.4423
6.4	0|1|3	0|2	τὸ|δὲ|τοῖς	and|the	0.4273
6.5	9|10|11	6|7|8|20|21	ἀνάγκης|ἂν|εἴη	it|follows|that|must|be	0.4610
6.6	3	5	μὲν	merely	0.5267
6.6	9	14	μελοποιίαν	Melody	0.4994
6.6	10|11	12|15	δὲ|ἣ	and|what	0.4759
6.6	14|15|16	16|18|19|20|21|22	φανερὰν|ἔχει|πᾶσαν	is|completely|understood|to|require|explanation	0.4132
7.1	3	5|6|7|8	λέγωμεν	let|us|now|consider	0.5867
7.11	8	16	καὶ	and	0.6507
7.3	0|2|3|4	1|2|3|4|5|6	ὅλον|ἐστὶν|τὸ|ἔχον	a|whole|is|that|which|has	0.4300
7.3	1	0	δὲ	Now	0.4856
7.3	5|6|7|8|9	7|8|9|10	ἀρχὴν|καὶ|μέσον|καὶ|τελευτήν	beginning|middle|and|end	0.4847
7.6	0|1	0|1|2	μέσον|δὲ	and|a|middle	0.5239
7.7	1	3	ἄρα	therefore	0.6475
7.7	2|3|4|5	0|1|2	τοὺς|συνεστῶτας|εὖ|μύθους	A|well-constructed|Plot	0.4128
7.7	7|11	9|10|11	ὁπόθεν|ὅπου	at|any|point	0.4545
7.7	10	7	μήθ	or	0.4549
9.1	0	7|8	Φανερὸν	be|seen	0.4558
9.1	5|6	9	καὶ|ὅτι	that	0.5216
9.11	0|2|3	0|1|2	τῶν|ἁπλῶν|μύθων	Of|simple|Plots	0.4679
9.11	14|15	15|22	ἐν|ᾧ	when|in	0.4185
9.11	16	23	τὰ	the	0.4309
9.11b	11	11	δὲ	and	0.5849
9.11c	0|1|15	1	ἐπεὶ|δὲ|δὲ	however	0.5910
9.11c	11|18	16	φοβερῶν|μάλιστα	pity	0.5108
9.11c	13|20|25	18	ἐλεεινῶν|μᾶλλον|δόξαν	fear	0.5092
9.13	0	2	ὥστε	therefore	0.4928
9.13	2|3	3|4|5	τοὺς|τοιούτους	of|this|sort	0.4065
9.13	4	6	εἶναι	is	0.5208
9.13	5	8	καλλίους	finer	0.6219
9.13	6	1	μύθους	Plot	0.4599
9.4	30	46	Ἀλκιβιάδης	Alcibiades	0.8010
9.7	26|27|28	32|33	τῷ|Ἀγάθωνος|Ἀνθεῖ	Agathon's|Antheus	0.5455
9.9	4	6	ὅτι	that	0.7827
9.9	16	23|24	ὅσῳ	inasmuch|as	0.5255
